SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
77,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,29-07-2024 21:30,1.5
78,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,30-07-2024 01:30,0.5
79,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,30-07-2024 22:30,5.5
80,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,04-08-2024 21:30,1
81,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,04-08-2024 22:30,0.5
82,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,05-08-2024 06:30,3.5
83,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,05-08-2024 07:30,4
84,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,05-08-2024 11:30,0.5
85,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,05-08-2024 18:30,13.5
86,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,05-08-2024 19:30,1.5
87,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,06-08-2024 10:30,0.5
88,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,07-08-2024 00:30,0.5
89,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,16-10-2024 15:30,6.5
90,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,17-10-2024 07:30,0.5
91,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,17-10-2024 11:30,0.5
92,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,17-10-2024 12:30,2
93,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,17-10-2024 15:30,0.5
94,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,17-10-2024 17:30,8
95,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,17-10-2024 18:30,0.5
96,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,19-10-2024 10:30,0.5
97,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,23-10-2024 05:30,263
98,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,26-11-2024 07:30,114
99,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,20-12-2024 06:30,2.5
100,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,22-03-2025 20:30,50.5
101,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,24-03-2025 10:30,0.5
102,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,24-03-2025 11:30,4
103,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,24-03-2025 12:30,0.5
104,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,30-04-2025 07:30,14.5
105,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,30-04-2025 08:30,4
106,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,30-04-2025 09:30,1
107,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,30-04-2025 10:30,0.5
108,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,30-04-2025 13:30,0.5
109,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,03-05-2025 08:30,0.5
110,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,03-05-2025 17:30,129.5
111,AMADALAVALASA.,CWC,28,Andhra Pradesh,519,SRIKAKULAM,AMUDALAVALASA,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.41000000,83.40000000,03-05-2025 18:30,170
